UFObase Test Protocol - UFObase V3.5.96.2 May 26 2023-13:24:12
Protocol version:	1.14.3

Decimal separator:	,
Unknown value:	0

Test number:	44
Reference Position Long east:	14,49449907	[°]
Reference Position Lat north:	48,15929485	[°]
Reference direction:	154,690	[°]
Reference height:	100,0	[m]
Time zone: UTC
Coordinate system:	DIN 70000  (X,Y,Z -> Forward, Left, Up)
Start time	2023-07-20 12:18:53,370
Stop time	12:19:12,270

Test phases definition:
Phase #00 ('SystemCheck')
	Steering control: Path trajectory
	Speed control: Speed trajectory
Phase #01 ('rollout')
	Steering control: Unchanged
	Speed control: Generic
Phase #02 ('3mss_brake')
	Steering control: Unchanged
	Speed control: Speed trajectory
Phase #03 ('RTS')
	Steering control: Unchanged
	Speed control: Speed trajectory

#1	Vehicle (UFO):
#1		Name:	UFOmicro
#1		IP:	192.168.10.37
#1		Type:	vt6-3
#1		SW-Version:	539
#1		Processor-Type:	STM32F407

#1	Battery IDs:	10430, 10889
#1	Start position:
#1		X:	-0,350	[m]
#1		Y:	13,830	[m]
#1		XY-Hdg:	-89,8	[°]
#1		N:	6,229	[m]
#1		E:	12,353	[m]
#1		NE-Hdg:	-115,5	[°]
#1	Trajectory file:	SystemCheck_UFOmicro_traj.txt
#1	Trajectory length:	144,722	[m]
#1	UFO Dummy:
#1		Name:	Vehicle without dummy
#1		Length:	0,978	[m]
#1		Width:	1,048	[m]
#1		GPS->Front:	0,489	[m]
#1		GPS side offset:	-0,000	[m]
#1		GPS mounting correction forward:	0,000	[m]
#1		GPS mounting correction right:	0,000	[m]
#1		GPS->MRP Forward:	0,000	[m]
#1		GPS->MRP Right:	0,000	[m]
#1	Long/Lat dist & TTC reference heading:	Start_Heading+0,00	[°]
#1	End of test Reason:	Path error too high

#1	Trigger:
#1		Trigger #1:	'SystemCheck -> rollout'
#1			Condition:	'(((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0))'
#1			Action:	'Switch to Phase#1'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #2:	'rollout -> brake_3mss'
#1			Condition:	'(((TIME_IN_PHASE)>(10))AND((SPEED)<(2.91667)))AND((TEST_PHASE)=(1))'
#1			Action:	'Switch to Phase#2'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #3:	'RTS -> Stop'
#1			Condition:	'((((TEST_PHASE)=(3))AND((TIME_IN_PHASE)>(5)))AND((SPEED)<(0.13889)))AND(STANDSTILL)'
#1			Action:	'Stop (controlled)'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1	Test events:
#1		12:18:53,370	Test phase change. New phase:0 ("SystemCheck")
#1		12:19:03,230	Trigger #0 "SystemCheck -> rollout" ((((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0)))
#1		12:19:03,230	Test phase change. New phase:1 ("rollout")
#1		12:19:10,180	Test phase change. New phase:70 ("Stopping (soft)")
#1		12:19:11,380	Test phase change. New phase:71 ("Stopping (hard)")



Number of test points	2092

Test point data:

Index [-]	HPC Time [msec]	Source	Vehicle State [-]	Time (UTC)	Steer algorithm [-]	Desired speed [kph]	Vehicle Speed [kph]	Desired Acc [m/ss]	Vehicle Acc [m/ss]	Desired steering radius [m]	Int. desired speed [kph]	Int. desired steering radius [m]	Int. desired steering angle [°]	Desired steering speed [-]	Steering position [-]	Desired brake pressure [Bar]	Brake pressure [Bar]	Desired brake position [-]	Brake position [-]	Desired brake speed [-]	Steering angle measured [°]	GPS Lat [°]	GPS Long [°]	Pos E [m]	Pos N [m]	Desired Pos X [m]	Desired Pos Y [m]	Pos X [m]	Pos Y [m]	Speed [kph]	GPS Direction [°]	GPS Heading [°]	Change of Heading [°/s]	GPS Num satellites [-]	GPS Pos Accuracy [m]	GPS Heading Accuracy [°]	Speed Accuracy [m/s]	Position on Path [m]	Side deviation [m]	Way deviation [m]	Heading deviation [°]	Time deviation [s]	Speed deviation [kph]	Acc deviation [m/ss]	Acc X [m/ss]	Acc Y [m/ss]	Acc Z [m/ss]	AngRate Z [°/s]	Way from motors [m]	Motor [L] RPM [1/min]	Motor [L] Current [A]	Motor [L] Voltage [V]	Motor [L] Throttle [A]	Motor [L] Brake [-]	Motor [L] State [-]	Motor [L] Temp [°C]	Motor [L] PWM [‰]	Motor [R] RPM [1/min]	Motor [R] Current [A]	Motor [R] Voltage [V]	Motor [R] Throttle [A]	Motor [R] Brake [-]	Motor [R] State [-]	Motor [R] Temp [°C]	Motor [R] PWM [‰]	Motor [FL] RPM [1/min]	Motor [FL] Current [A]	Motor [FL] Voltage [V]	Motor [FL] Throttle [A]	Motor [FL] Brake [-]	Motor [FL] State [-]	Motor [FL] Temp [°C]	Motor [FL] PWM [‰]	Motor [FR] RPM [1/min]	Motor [FR] Current [A]	Motor [FR] Voltage [V]	Motor [FR] Throttle [A]	Motor [FR] Brake [-]	Motor [FR] State [-]	Motor [FR] Temp [°C]	Motor [FR] PWM [‰]	Slip rear left [%]	Slip rear right [%]	Slip front left [%]	Slip front right [%]	RPM front left [-]	RPM front right [-]	Batt Voltage 1 [V]	Batt Current 1 [A]	Batt State of charge 1 [%]	Batt Voltage 2 [V]	Batt Current 2 [A]	Batt State of charge 2 [%]	Time to meeting pos [s]	VUT distance to crashpoint [m]	VUT time to meeting pos [s]	VUT long distance [m]	VUT lat distance [m]	VUT speed [kph]	VUT Pos E [m]	VUT Pos N [m]	VUT Pos X [m]	VUT Pos Y [m]	VUT distance to UFO [m]	VUT side deviation [m]	TTC long [s]	TTC lat [s]	TTC abs [s]	Network roundtrip time [ms]	Additional side offset [m]	Additional forward offset [m]	Additional offset blend factor [1]	Safety CPU temp [°C]	Safety state [-]	Safety flags #1 [-]	Safety flags #2 [-]	Safety flags #3 [-]	Safety flags #4 [-]	Relay State [-]	Main buffer batt voltage [V]	GNSS buffer batt voltage [V]	Debug F1 [-]	Debug F2 [-]	Debug F3 [-]	Debug I1 [-]	Debug I2 [-]	Debug I3 [-]	
0	0	M	3	20/07/2023 12:18:53,370	6	0,00	0,01	4,000	0,005	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935090	14,49466499	12,344	6,232	0,000	0,000	0,007	-0,007	0,01	0	115,66	0	25	0,036	0,184	0,021	0,007	-0,007	0,000	0,15	-0,058	0,01	-3,995	0,1	0,1	9,8	-0,090	0,000	0,0	1,2	51,7	75,551	0	0	71,6	2	0,0	0,0	51,8	75,551	0	0	71,6	-1	0,0	-0,1	51,8	75,551	0	0	71,1	0	0,0	-0,1	51,9	75,551	0	0	71,3	2	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x0FA1	0x00DF	0	0	0	0	0	0	0	0	
1	10	M	3	20/07/2023 12:18:53,380	6	0,14	0,01	4,000	0,009	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935090	14,49466499	12,344	6,232	0,000	-0,000	0,007	-0,007	0,01	0	115,66	0,007	25	0,036	0,184	0,021	0,007	-0,007	0,000	0,15	-0,048	-0,13	-3,991	0,1	0,1	9,8	-0,072	0,000	0,0	5,7	51,4	91,315	0	0	71,6	63	0,0	1,7	51,7	90,381	0	0	71,6	73	28,0	-0,1	51,8	91,315	0	0	71,1	0	17,0	1,0	51,9	90,381	0	0	71,3	69	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
2	20	M	3	20/07/2023 12:18:53,390	6	0,29	0,11	4,000	2,894	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935090	14,49466498	12,344	6,232	0,001	0,000	0,007	-0,007	0,11	0	115,66	0,040	25	0,036	0,184	0,021	0,007	-0,007	0,000	0,15	-0,039	-0,17	-1,106	2,1	0,1	9,5	-0,064	0,000	0,0	11,4	51,2	97,236	0	0	71,6	75	0,0	10,6	51,7	92,937	0	0	71,6	72	62,0	7,0	51,8	97,236	0	0	71,1	77	38,0	1,0	51,9	92,937	0	0	71,3	69	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
3	30	M	3	20/07/2023 12:18:53,400	6	0,43	0,23	4,000	3,092	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935090	14,49466498	12,343	6,232	0,002	-0,000	0,007	-0,007	0,23	0	115,67	0,045	25	0,036	0,184	0,021	0,007	-0,007	0,000	0,16	-0,030	-0,21	-0,908	3,1	0,1	10,0	0,018	0,000	0,0	19,7	51,2	102,193	0	0	71,6	77	0,0	10,6	51,4	94,937	0	0	71,6	72	10,0	7,0	51,2	102,193	0	0	71,1	77	12,0	1,0	51,9	94,937	0	0	71,3	69	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
4	40	M	3	20/07/2023 12:18:53,410	6	0,58	0,33	4,000	2,911	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935090	14,49466497	12,343	6,232	0,003	0,000	0,008	-0,007	0,33	0	115,67	0,093	25	0,036	0,184	0,021	0,008	-0,007	0,000	0,16	-0,023	-0,25	-1,089	3,1	0,1	10,2	-0,006	0,000	29,0	25,0	51,1	107,485	0	0	71,3	80	29,0	19,9	51,4	97,992	0	0	71,6	75	35,0	22,1	51,2	107,485	0	0	71,1	80	14,0	22,9	51,3	97,992	0	0	71,3	77	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
5	50	M	3	20/07/2023 12:18:53,420	6	0,72	0,45	4,000	3,347	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935089	14,49466496	12,342	6,231	0,005	-0,000	0,009	-0,007	0,45	116,6	115,66	-0,454	25	0,036	0,184	0,021	0,009	-0,007	0,000	0,15	-0,017	-0,27	-0,653	3,6	0,4	9,9	-0,321	0,000	29,0	32,5	50,9	110,724	0	0	71,3	83	29,0	28,0	51,2	99,755	0	0	71,4	77	47,0	22,1	50,9	110,724	0	0	71,1	80	22,0	22,9	51,3	99,755	0	0	71,3	77	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
6	60	M	3	20/07/2023 12:18:53,430	6	0,86	0,57	4,000	3,259	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935089	14,49466494	12,341	6,231	0,007	0,000	0,010	-0,007	0,57	116,5	115,66	-0,648	25	0,036	0,184	0,021	0,010	-0,007	0,000	0,15	-0,012	-0,30	-0,741	3,2	0,1	9,8	-0,692	0,000	29,0	37,3	50,9	113,966	0	0	71,3	85	29,0	35,2	51,2	102,194	0	0	71,4	80	48,0	22,1	50,9	113,966	0	0	71,1	80	40,0	22,9	51,3	102,194	0	0	71,3	77	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
7	70	M	3	20/07/2023 12:18:53,440	6	1,01	0,69	4,000	3,314	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935088	14,49466492	12,339	6,230	0,010	-0,000	0,012	-0,007	0,69	116,1	115,65	-0,470	25	0,036	0,184	0,021	0,012	-0,007	0,000	0,14	-0,007	-0,32	-0,686	3,4	-0,0	10,0	-0,618	0,000	29,0	43,6	50,9	116,752	0	0	71,3	89	29,0	35,2	51,2	104,669	0	0	71,4	80	47,0	37,6	50,9	116,752	0	0	71,1	89	44,0	22,9	51,3	104,669	0	0	71,3	77	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
8	80	M	3	20/07/2023 12:18:53,450	6	1,15	0,83	4,000	3,842	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935087	14,49466490	12,337	6,229	0,013	0,000	0,014	-0,007	0,83	116,0	115,65	-0,549	25	0,036	0,184	0,021	0,014	-0,007	0,000	0,14	-0,004	-0,33	-0,158	3,8	0,1	10,0	-0,582	0,000	29,0	47,7	50,9	117,390	0	0	71,3	93	29,0	41,3	51,0	105,242	0	0	71,4	85	50,0	37,6	50,9	117,390	0	0	71,1	89	48,0	39,9	51,0	105,242	0	0	71,3	88	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
9	90	M	3	20/07/2023 12:18:53,460	6	1,30	0,96	4,000	3,603	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935086	14,49466487	12,335	6,228	0,016	-0,000	0,016	-0,007	0,96	115,8	115,64	-0,430	25	0,036	0,184	0,021	0,016	-0,007	0,000	0,13	-0,000	-0,34	-0,397	3,8	0,1	9,9	-0,576	0,000	57,0	53,0	50,7	118,919	0	0	71,3	97	29,0	47,1	51,0	106,757	0	0	71,4	85	61,0	50,2	50,9	118,919	0	0	71,1	97	68,0	39,9	51,0	106,757	0	0	71,3	88	0	0	0	0	0	0	52,3	-2,4	64,40	52,4	-2,5	91,40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	69,0	7	0xC007	0xDFC1	0x1200	0x87A1	0x00DF	0	0	0	0	0	0	0	0	
