UFObase Test Protocol - UFObase V3.5.96.2 May 26 2023-13:24:12
Protocol version:	1.14.3

Decimal separator:	,
Unknown value:	0

Test number:	15
Reference Position Long east:	14,49449907	[°]
Reference Position Lat north:	48,15929485	[°]
Reference direction:	154,690	[°]
Reference height:	100,0	[m]
Time zone: UTC
Coordinate system:	DIN 70000  (X,Y,Z -> Forward, Left, Up)
Start time	2023-07-20 09:33:37,450
Stop time	09:34:27,720

Test phases definition:
Phase #00 ('SystemCheck')
	Steering control: Path trajectory
	Speed control: Speed trajectory
Phase #01 ('rollout')
	Steering control: Unchanged
	Speed control: Generic
Phase #02 ('3mss_brake')
	Steering control: Unchanged
	Speed control: Speed trajectory
Phase #03 ('RTS')
	Steering control: Unchanged
	Speed control: Speed trajectory

#1	Vehicle (UFO):
#1		Name:	UFOmicro
#1		IP:	192.168.10.37
#1		Type:	vt6-3
#1		SW-Version:	539
#1		Processor-Type:	STM32F407

#1	Battery IDs:	10088, 10354
#1	Start position:
#1		X:	-0,350	[m]
#1		Y:	13,830	[m]
#1		XY-Hdg:	-89,8	[°]
#1		N:	6,229	[m]
#1		E:	12,353	[m]
#1		NE-Hdg:	-115,5	[°]
#1	Trajectory file:	SystemCheck_UFOmicro_traj.txt
#1	Trajectory length:	144,722	[m]
#1	UFO Dummy:
#1		Name:	Vehicle without dummy
#1		Length:	0,978	[m]
#1		Width:	1,048	[m]
#1		GPS->Front:	0,489	[m]
#1		GPS side offset:	-0,000	[m]
#1		GPS mounting correction forward:	0,000	[m]
#1		GPS mounting correction right:	0,000	[m]
#1		GPS->MRP Forward:	0,000	[m]
#1		GPS->MRP Right:	0,000	[m]
#1	Long/Lat dist & TTC reference heading:	Start_Heading+0,00	[°]
#1	End of test Reason:	Target completed

#1	Trigger:
#1		Trigger #1:	'SystemCheck -> rollout'
#1			Condition:	'(((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0))'
#1			Action:	'Switch to Phase#1'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #2:	'rollout -> brake_3mss'
#1			Condition:	'(((TIME_IN_PHASE)>(10))AND((SPEED)<(2.91667)))AND((TEST_PHASE)=(1))'
#1			Action:	'Switch to Phase#2'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1		Trigger #3:	'RTS -> Stop'
#1			Condition:	'((((TEST_PHASE)=(3))AND((TIME_IN_PHASE)>(5)))AND((SPEED)<(0.13889)))AND(STANDSTILL)'
#1			Action:	'Stop (controlled)'
#1			Condition delay:	0,000	[s]
#1			Action delay:	0,000	[s]
#1	Test events:
#1		09:33:37,450	Test phase change. New phase:0 ("SystemCheck")
#1		09:33:47,310	Trigger #0 "SystemCheck -> rollout" ((((TIME_IN_PHASE)>(9.86000))AND((SPEED)>(6.80556)))AND((TEST_PHASE)=(0)))
#1		09:33:47,310	Test phase change. New phase:1 ("rollout")
#1		09:33:57,310	Trigger #1 "rollout -> brake_3mss" ((((TIME_IN_PHASE)>(10))AND((SPEED)<(2.91667)))AND((TEST_PHASE)=(1)))
#1		09:33:57,310	Test phase change. New phase:2 ("3mss_brake")
#1		09:33:58,290	Test phase change. New phase:3 ("RTS")
#1		09:34:27,510	Trigger #2 "RTS -> Stop" (((((TEST_PHASE)=(3))AND((TIME_IN_PHASE)>(5)))AND((SPEED)<(0.13889)))AND(STANDSTILL))
#1		09:34:27,510	Test phase change. New phase:70 ("Stopping (soft)")



Number of test points	5229

Test point data:

Index [-]	HPC Time [msec]	Source	Vehicle State [-]	Time (UTC)	Steer algorithm [-]	Desired speed [kph]	Vehicle Speed [kph]	Desired Acc [m/ss]	Vehicle Acc [m/ss]	Desired steering radius [m]	Int. desired speed [kph]	Int. desired steering radius [m]	Int. desired steering angle [°]	Desired steering speed [-]	Steering position [-]	Desired brake pressure [Bar]	Brake pressure [Bar]	Desired brake position [-]	Brake position [-]	Desired brake speed [-]	Steering angle measured [°]	GPS Lat [°]	GPS Long [°]	Pos E [m]	Pos N [m]	Desired Pos X [m]	Desired Pos Y [m]	Pos X [m]	Pos Y [m]	Speed [kph]	GPS Direction [°]	GPS Heading [°]	Change of Heading [°/s]	GPS Num satellites [-]	GPS Pos Accuracy [m]	GPS Heading Accuracy [°]	Speed Accuracy [m/s]	Position on Path [m]	Side deviation [m]	Way deviation [m]	Heading deviation [°]	Time deviation [s]	Speed deviation [kph]	Acc deviation [m/ss]	Acc X [m/ss]	Acc Y [m/ss]	Acc Z [m/ss]	AngRate Z [°/s]	Way from motors [m]	Motor [L] RPM [1/min]	Motor [L] Current [A]	Motor [L] Voltage [V]	Motor [L] Throttle [A]	Motor [L] Brake [-]	Motor [L] State [-]	Motor [L] Temp [°C]	Motor [L] PWM [‰]	Motor [R] RPM [1/min]	Motor [R] Current [A]	Motor [R] Voltage [V]	Motor [R] Throttle [A]	Motor [R] Brake [-]	Motor [R] State [-]	Motor [R] Temp [°C]	Motor [R] PWM [‰]	Motor [FL] RPM [1/min]	Motor [FL] Current [A]	Motor [FL] Voltage [V]	Motor [FL] Throttle [A]	Motor [FL] Brake [-]	Motor [FL] State [-]	Motor [FL] Temp [°C]	Motor [FL] PWM [‰]	Motor [FR] RPM [1/min]	Motor [FR] Current [A]	Motor [FR] Voltage [V]	Motor [FR] Throttle [A]	Motor [FR] Brake [-]	Motor [FR] State [-]	Motor [FR] Temp [°C]	Motor [FR] PWM [‰]	Slip rear left [%]	Slip rear right [%]	Slip front left [%]	Slip front right [%]	RPM front left [-]	RPM front right [-]	Batt Voltage 1 [V]	Batt Current 1 [A]	Batt State of charge 1 [%]	Batt Voltage 2 [V]	Batt Current 2 [A]	Batt State of charge 2 [%]	Time to meeting pos [s]	VUT distance to crashpoint [m]	VUT time to meeting pos [s]	VUT long distance [m]	VUT lat distance [m]	VUT speed [kph]	VUT Pos E [m]	VUT Pos N [m]	VUT Pos X [m]	VUT Pos Y [m]	VUT distance to UFO [m]	VUT side deviation [m]	TTC long [s]	TTC lat [s]	TTC abs [s]	Network roundtrip time [ms]	Additional side offset [m]	Additional forward offset [m]	Additional offset blend factor [1]	Safety CPU temp [°C]	Safety state [-]	Safety flags #1 [-]	Safety flags #2 [-]	Safety flags #3 [-]	Safety flags #4 [-]	Relay State [-]	Main buffer batt voltage [V]	GNSS buffer batt voltage [V]	Debug F1 [-]	Debug F2 [-]	Debug F3 [-]	Debug I1 [-]	Debug I2 [-]	Debug I3 [-]	
0	0	M	3	20/07/2023 09:33:37,450	6	0,00	0,01	4,000	-0,003	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935091	14,49466524	12,362	6,233	0,000	0,000	-0,010	0,001	0,01	0	115,40	0	27	0,033	0,175	0,021	-0,010	0,001	0,000	-0,11	0,000	0,01	-4,003	0,2	0,0	9,8	-0,081	0,000	0,0	-0,4	51,5	75,638	0	0	88,6	0	0,0	0,9	51,7	75,638	0	0	88,6	0	0,0	-0,8	51,6	75,638	0	0	88,5	0	0,0	0,3	51,7	75,638	0	0	88,5	0	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x8FA1	0x00DF	0	0	0	0	0	0	0	0	
1	10	M	3	20/07/2023 09:33:37,460	6	0,14	0,01	4,000	-0,006	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935091	14,49466524	12,362	6,233	0,000	-0,000	-0,010	0,001	0,01	0	115,40	0,016	27	0,033	0,175	0,021	-0,010	0,001	0,000	-0,11	0,000	-0,13	-4,006	0,2	0,0	9,8	-0,033	0,000	0,0	2,4	51,3	91,143	0	0	88,6	81	0,0	1,6	51,4	90,836	0	0	88,6	68	0,0	-0,8	51,6	91,143	0	0	88,5	0	0,0	0,3	51,5	90,836	0	0	88,5	0	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x07A1	0x00DF	0	0	0	0	0	0	0	0	
2	20	M	3	20/07/2023 09:33:37,470	6	0,29	0,10	4,000	2,626	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935091	14,49466524	12,362	6,233	0,001	0,000	-0,010	0,001	0,10	0	115,40	0,000	27	0,033	0,175	0,021	-0,010	0,001	0,000	-0,11	0,000	-0,18	-1,374	1,3	-0,0	9,6	-0,034	0,000	29,0	10,2	50,9	96,966	0	0	88,6	73	29,0	10,0	51,4	95,547	0	0	88,6	66	151,0	8,7	51,2	96,966	0	0	88,5	68	92,0	0,3	51,5	95,547	0	0	88,5	0	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x07A1	0x00DF	0	0	0	0	0	0	0	0	
3	30	M	3	20/07/2023 09:33:37,480	6	0,43	0,22	4,000	3,125	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935090	14,49466523	12,362	6,233	0,002	-0,000	-0,010	0,001	0,22	0	115,40	-0,120	27	0,033	0,175	0,021	-0,010	0,001	0,000	-0,11	0,000	-0,22	-0,875	3,9	0,0	9,7	-0,214	0,000	29,0	15,8	50,9	100,786	0	0	88,6	74	29,0	10,0	51,1	98,435	0	0	88,6	66	86,0	8,7	51,2	100,786	0	0	88,5	68	102,0	16,4	51,5	98,435	0	0	88,5	85	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x07A1	0x00DF	0	0	0	0	0	0	0	0	
4	40	M	3	20/07/2023 09:33:37,490	6	0,58	0,34	4,000	3,380	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935090	14,49466523	12,362	6,232	0,003	0,000	-0,010	0,001	0,34	0	115,40	0,138	27	0,033	0,175	0,021	-0,010	0,001	0,000	-0,11	0,000	-0,24	-0,620	3,6	0,1	10,1	-0,297	0,000	29,0	23,7	50,8	103,480	0	0	88,5	80	29,0	19,5	51,1	100,493	0	0	88,6	77	4,0	8,7	51,2	103,480	0	0	88,5	68	1,0	16,4	51,5	100,493	0	0	88,5	85	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x07A1	0x00DF	0	0	0	0	0	0	0	0	
5	50	M	3	20/07/2023 09:33:37,500	6	0,72	0,47	4,000	3,534	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935090	14,49466522	12,361	6,232	0,005	-0,000	-0,009	0,001	0,47	117,5	115,40	-0,418	27	0,033	0,175	0,021	-0,009	0,001	0,000	-0,11	0,000	-0,25	-0,466	3,7	0,1	10,0	-0,410	0,000	29,0	28,5	50,8	105,518	0	0	88,5	82	29,0	27,8	51,0	102,027	0	0	88,5	83	21,0	25,4	50,8	105,518	0	0	88,5	83	30,0	16,4	51,2	102,027	0	0	88,5	85	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x07A1	0x00DF	0	0	0	0	0	0	0	0	
6	60	M	3	20/07/2023 09:33:37,510	6	0,86	0,60	4,000	3,654	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935089	14,49466521	12,360	6,231	0,007	0,000	-0,008	0,001	0,60	116,8	115,39	-0,344	27	0,033	0,175	0,021	-0,008	0,001	0,000	-0,12	0,000	-0,27	-0,345	3,8	-0,0	9,8	-0,516	0,000	29,0	35,2	50,8	106,983	0	0	88,5	86	29,0	35,0	51,0	103,211	0	0	88,5	85	32,0	25,4	50,8	106,983	0	0	88,4	83	35,0	16,4	51,2	103,211	0	0	88,5	85	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x07A1	0x00DF	0	0	0	0	0	0	0	0	
7	70	M	3	20/07/2023 09:33:37,520	6	1,01	0,73	4,000	3,606	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935088	14,49466519	12,359	6,230	0,010	-0,000	-0,006	0,001	0,73	116,1	115,39	0,086	27	0,033	0,175	0,021	-0,006	0,001	0,000	-0,12	0,000	-0,28	-0,394	3,7	-0,2	9,7	-0,105	0,000	29,0	39,1	50,7	108,591	0	0	88,5	89	29,0	35,0	50,9	104,626	0	0	88,5	85	39,0	38,6	50,8	108,591	0	0	88,4	89	39,0	35,8	51,2	104,626	0	0	88,5	86	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x07A1	0x00DF	0	0	0	0	0	0	0	0	
8	80	M	3	20/07/2023 09:33:37,530	6	1,15	0,86	4,000	3,682	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935088	14,49466516	12,357	6,229	0,013	0,000	-0,004	0,001	0,86	116,1	115,39	0,109	27	0,033	0,175	0,021	-0,004	0,001	0,000	-0,12	0,000	-0,29	-0,318	3,8	0,0	9,8	0,109	0,000	29,0	44,5	50,6	109,964	0	0	88,5	89	29,0	41,4	50,9	105,693	0	0	88,5	85	53,0	38,6	50,8	109,964	0	0	88,4	89	47,0	35,8	51,2	105,693	0	0	88,5	86	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x07A1	0x00DF	0	0	0	0	0	0	0	0	
9	90	M	3	20/07/2023 09:33:37,540	6	1,30	1,00	4,000	3,893	0,00	0,00	-0,00	0,000	0	0	0	0	0	0	0	0	48,15935087	14,49466513	12,354	6,228	0,016	-0,000	-0,001	0,001	1,00	115,8	115,39	-0,052	27	0,033	0,175	0,021	-0,001	0,001	0,000	-0,12	0,000	-0,30	-0,107	4,0	0,0	9,8	-0,143	0,000	29,0	47,7	50,8	110,527	0	0	88,5	93	29,0	46,3	50,9	105,949	0	0	88,5	89	60,0	49,4	50,8	110,527	0	0	88,4	94	62,0	35,8	50,8	105,949	0	0	88,5	86	0	0	0	0	0	0	52,1	-1,6	56,80	52,1	-2,2	30,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,000	0,000	1,000	68,0	7	0xC007	0xDFC1	0x1200	0x07A1	0x00DF	0	0	0	0	0	0	0	0	
